Territory,Year,arson,attacks,attempted homicides,bag-snatching,bank robbery,blows,burglary,car theft,child pornography and possession of paedo-pornographic materials,corruption of a minor,counteractions of goods and industrial products,criminal association,culpable injuries,cybercrime,damage followed by arson,damages,exploitation and abetting prostitution,extortions,forest arson,homicides for theft or robbery,homicides from road accident,homicides of mafia,house robbery,infanticides,intellectual property violations,intentional homicides,kidnappings,mafia criminal association,manslaughter,mass murder,menaces,money laundering,moped theft,motorcycle theft,offences,other crimes,pickpocketing,post office robbery,receiving stolen goods,robberies,sexual activity with a minor,sexual violence,shop robbery,shoplifting,smuggling,street robbery,swindles and cyber frauds,terrorist homicides,theft from vehicle,theft of art objets,theft of cargo trucks carrying freights,thefts,total_crime,trafficking and drugs possession,unintentional homicides,usury,all_levels_education,"no educational degree, primary and lower secondary school certificate","tertiary (university, doctoral and specialization courses)",upper and post secondary
Nord-ovest,2019,7.2,0.3,1.4,24.2,0.4,27.1,334.6,110.7,1.4,0.3,5.9,0.5,108.5,38.1,7.1,661.5,0.8,13.9,2.8,0.0,1.7,0.0,3.1,0.0,0.2,0.5,1.3,0.1,0.0,0.0,114.1,2.7,10.4,31.3,0.0,738.3,325.0,0.2,27.1,45.0,0.8,9.3,6.7,158.4,0.1,26.3,408.6,0.0,281.0,0.4,1.0,2001.7,5055.599999999999,66.8,2.3,0.2,19.495217,28.322712,10.52931,18.039222000000002
Nord-ovest,2020,5.8,0.4,1.2,19.4,0.2,25.9,202.9,78.5,2.2,0.2,3.5,0.6,88.5,44.6,6.8,545.5,0.5,13.2,2.4,0.0,1.3,0.0,2.5,0.0,0.1,0.5,1.3,0.1,0.0,0.1,107.0,2.9,7.7,22.7,0.0,686.9,187.5,0.2,19.4,38.0,0.7,8.5,5.7,112.2,0.2,22.2,464.6,0.0,168.8,0.3,0.6,1287.5,4123.8,60.1,2.4,0.3,18.389999,25.321581000000002,10.738709,17.733739
Nord-ovest,2021,6.7,0.4,1.3,24.1,0.2,28.7,247.2,84.2,2.1,0.3,4.7,1.3,103.7,54.9,7.6,646.2,0.6,17.0,2.7,0.0,1.4,0.0,3.0,0.0,0.2,0.4,1.3,0.1,0.0,0.0,112.1,2.3,9.2,25.9,0.0,728.0,260.0,0.1,21.8,47.6,0.9,10.4,6.8,134.5,0.2,28.6,565.6,0.0,168.4,0.4,0.3,1575.7,4737.1,50.0,2.2,0.2,19.499785,26.791702,11.008735,19.005199
Provincia Autonoma Bolzano / Bozen,2018,2.6,0.6,1.3,11.9,0.9,23.8,196.6,16.6,1.7,0.2,1.3,0.2,103.5,9.4,5.1,193.2,0.8,17.8,0.2,0.0,1.5,0.0,0.9,0.0,0.2,0.8,1.1,0.0,0.0,0.2,87.1,1.3,8.5,7.4,0.0,647.1,218.9,0.0,26.4,32.5,0.9,12.1,4.9,157.9,0.0,19.6,167.3,0.0,143.9,0.6,0.2,1463.7,3689.1,75.9,2.1,0.2,8.538747,10.367056999999999,7.199158000000001,7.82839
Provincia Autonoma Bolzano / Bozen,2019,3.8,0.2,0.8,7.9,0.0,26.3,235.5,15.6,0.9,0.6,0.6,0.4,114.7,10.5,4.1,168.5,0.4,13.0,0.6,0.0,2.6,0.0,2.4,0.0,0.0,0.2,0.9,0.0,0.0,0.0,82.4,1.5,9.0,9.0,0.0,682.4,167.6,0.0,23.7,26.1,0.6,9.0,7.1,136.2,0.2,13.2,181.9,0.0,140.1,0.2,0.2,1406.6,3665.8999999999996,78.4,3.8,0.0,8.546129,11.930375,6.407458999999999,7.034231999999999
Provincia Autonoma Bolzano / Bozen,2020,6.9,0.0,0.8,5.4,0.0,24.4,118.5,10.3,1.5,0.4,1.1,0.2,87.2,12.9,3.4,158.3,2.1,16.3,0.9,0.0,1.9,0.0,0.9,0.0,0.0,0.6,1.1,0.0,0.0,0.0,87.2,2.8,3.9,7.1,0.0,742.0,108.0,0.0,25.9,33.0,1.3,6.9,6.4,124.5,0.0,21.8,183.6,0.0,94.9,0.4,0.0,975.7,3243.6000000000004,66.6,3.8,0.0,11.010047,15.474122000000001,5.3456019999999995,10.190946
Provincia Autonoma Bolzano / Bozen,2021,3.5,0.6,0.6,9.3,0.0,40.9,120.9,8.6,1.3,0.2,0.4,0.9,106.7,14.8,5.4,196.9,1.3,22.6,0.0,0.0,1.7,0.0,1.1,0.0,0.4,0.6,1.3,0.0,0.0,0.0,100.9,0.7,6.7,9.0,0.0,802.7,126.8,0.0,25.2,35.9,0.2,9.3,9.5,138.0,0.0,20.9,227.1,0.0,68.9,0.0,0.4,1064.2,3571.7999999999997,56.8,2.4,0.0,11.4635,15.169839999999999,8.160114,10.431643
Provincia Autonoma Trento,2018,3.7,0.9,1.7,5.7,0.0,21.6,272.7,14.6,1.1,0.4,7.6,0.4,76.6,16.3,6.3,254.2,1.3,8.1,0.2,0.0,2.0,0.0,0.9,0.0,0.0,0.4,0.7,0.0,0.0,0.0,74.6,15.2,6.1,3.0,0.0,671.8,145.8,0.0,13.1,16.1,1.3,7.4,1.9,92.9,0.0,11.8,274.6,0.0,195.9,0.7,0.0,1406.3,3573.4,70.9,3.1,0.2,14.219209,20.194824,7.200875,14.469854999999999
Provincia Autonoma Trento,2019,6.1,0.4,1.8,8.7,0.0,17.0,255.2,14.6,0.9,0.4,1.5,0.4,85.1,15.3,6.6,261.5,0.6,12.0,2.0,0.0,1.3,0.0,1.7,0.0,0.4,0.6,0.7,0.0,0.0,0.0,73.6,5.2,4.2,5.4,0.0,661.5,92.4,0.4,16.4,15.9,0.7,10.7,2.8,91.3,0.0,7.8,293.6,0.0,171.6,1.5,0.2,1191.1,3337.4,59.4,1.7,0.0,15.009796000000001,23.200824,6.89023,14.67788
Provincia Autonoma Trento,2020,4.2,0.2,0.9,2.8,0.2,16.3,111.4,9.7,2.9,0.4,0.0,0.6,71.2,13.8,4.0,220.3,0.7,9.7,0.7,0.0,1.7,0.0,1.7,0.0,0.0,0.2,0.6,0.0,0.0,0.0,71.9,4.4,3.5,4.6,0.0,651.8,54.7,0.0,10.6,17.6,0.4,7.7,5.3,69.3,0.0,7.2,252.4,0.0,75.2,0.4,0.2,674.0,2674.0,58.9,2.0,0.0,16.310102,22.812268,9.991632,16.191617
Provincia Autonoma Trento,2021,6.1,0.7,0.9,3.5,0.0,20.8,104.2,5.9,4.8,0.7,1.7,1.3,78.4,19.7,4.1,262.3,0.9,11.1,2.6,0.0,1.3,0.0,2.0,0.0,0.0,0.2,1.1,0.0,0.2,0.0,76.9,4.2,2.4,2.6,0.0,710.9,51.1,0.0,13.5,15.9,1.1,9.6,4.6,73.8,0.0,7.0,309.3,0.0,39.3,0.4,0.0,661.4,2903.0,59.4,2.2,0.2,14.354492,20.948734,6.603727,14.858281
Puglia,2018,17.7,0.4,2.7,24.1,1.0,19.0,251.7,452.3,0.6,0.2,17.6,0.5,106.6,12.4,30.2,300.3,1.3,20.0,4.0,0.0,1.3,0.2,3.3,0.0,2.8,0.8,2.1,0.4,0.1,0.0,137.1,4.2,16.3,29.1,0.0,669.1,79.5,0.7,34.6,42.6,0.6,4.8,9.9,87.3,0.1,16.4,227.6,0.0,177.2,0.4,2.2,1828.2,4319.2,62.5,2.3,0.6,48.169838999999996,58.192422,29.419597,46.836412
Puglia,2019,21.6,0.4,2.5,15.3,0.5,18.4,205.8,418.6,0.5,0.4,13.0,1.0,102.6,14.0,31.6,305.1,0.7,18.7,8.0,0.0,1.5,0.2,3.2,0.0,1.2,0.7,1.8,0.5,0.0,0.0,132.8,3.8,15.3,23.2,0.0,694.9,61.0,0.6,29.1,31.7,0.6,5.2,6.8,80.2,0.1,12.1,261.4,0.0,146.4,0.5,2.2,1595.0,4080.4,57.3,2.8,0.3,44.626023,53.585757,24.912470999999996,45.353068
Puglia,2020,22.2,0.5,2.0,12.5,0.2,17.7,163.9,340.9,1.3,0.2,6.8,0.9,84.7,19.6,29.9,286.2,0.8,18.5,9.8,0.0,1.0,0.0,2.4,0.0,0.5,0.6,1.9,0.7,0.0,0.1,125.3,4.1,11.9,18.5,0.0,715.6,34.9,0.2,23.4,26.1,0.7,5.9,5.1,58.8,0.0,11.5,336.3,0.0,106.7,0.3,2.1,1244.7,3780.6000000000004,61.0,3.2,0.4,42.714763,55.276505,23.675422,39.651705
Puglia,2021,26.1,0.4,2.5,12.9,0.0,18.4,153.3,371.4,1.5,0.2,9.2,0.8,87.4,22.3,40.4,324.7,0.7,18.8,11.2,0.1,1.6,0.1,3.1,0.0,0.2,0.6,1.9,0.3,0.1,0.0,120.0,3.5,12.1,17.5,0.0,723.5,38.4,0.2,22.2,26.9,0.6,6.7,5.2,53.8,0.0,12.0,424.4,0.0,84.1,0.3,0.9,1245.3,3955.6,56.1,3.6,0.8,43.74489,53.98508699999999,24.042664,43.600008
Sardegna,2018,6.4,0.4,1.9,7.7,0.1,24.6,156.8,57.3,0.9,0.4,6.4,0.6,90.5,9.3,34.9,391.8,0.3,11.6,0.0,0.0,1.6,0.0,2.7,0.0,0.9,0.7,0.8,0.1,0.1,0.0,156.9,1.4,12.3,20.6,0.0,616.0,36.5,0.2,26.5,17.2,1.1,5.7,2.7,74.5,0.0,7.8,296.3,0.0,111.9,0.7,0.4,951.4,3402.5,62.1,2.2,0.1,46.729788,57.494792000000004,30.883421,42.536027
Sardegna,2019,6.8,0.3,1.8,6.9,0.1,24.9,132.8,48.8,1.0,0.4,4.4,0.2,85.1,11.9,31.5,397.1,0.2,10.0,0.2,0.1,1.4,0.0,2.4,0.0,0.4,0.7,1.0,0.0,0.0,0.2,145.2,1.9,8.7,15.4,0.0,681.0,34.7,0.2,19.9,17.8,1.2,6.9,3.6,71.3,0.0,7.9,352.0,0.0,108.8,0.6,0.4,883.7,3414.6,64.8,2.0,0.1,45.130409,49.395976,31.273483999999996,48.165704
Sardegna,2020,4.6,0.4,2.2,3.5,0.1,24.2,89.8,36.3,1.4,0.4,3.9,0.1,77.3,18.9,31.4,351.5,0.1,12.8,0.3,0.0,1.6,0.0,1.6,0.0,0.2,0.6,0.5,0.0,0.1,0.1,139.6,3.1,5.9,14.7,0.0,677.5,20.1,0.3,14.8,12.4,1.2,6.2,2.8,55.1,0.0,5.2,429.7,0.0,61.6,0.4,0.1,622.3,3172.6000000000004,68.5,2.4,0.0,39.937547,52.00582800000001,18.991948,39.802793
Sardegna,2021,5.0,0.6,2.3,5.7,0.1,28.4,86.1,37.7,3.0,0.3,3.4,0.9,86.2,17.3,29.2,396.6,0.3,14.0,0.8,0.0,2.3,0.0,2.1,0.0,0.1,0.9,1.0,0.0,0.1,0.1,148.1,1.9,7.7,16.0,0.0,714.2,26.8,0.1,15.4,14.5,0.8,7.5,3.0,53.1,0.1,6.4,474.4,0.0,72.9,0.3,0.1,678.9,3395.4,59.4,3.7,0.1,40.866116,49.031757,20.011346,43.529976000000005
Sicilia,2018,8.8,0.4,2.2,23.1,0.6,22.8,218.7,251.1,1.3,0.2,9.4,1.4,110.8,16.9,29.9,265.3,1.2,20.6,0.7,0.0,1.3,0.0,3.6,0.0,2.9,0.7,1.8,0.3,0.1,0.0,155.3,2.5,39.4,87.1,0.0,734.8,81.8,1.2,31.9,40.9,1.2,7.4,7.4,83.7,0.1,18.4,282.3,0.0,138.2,0.4,1.5,1574.2,4283.9,65.9,3.4,0.2,64.081581,81.491823,37.485417,59.341561999999996
Sicilia,2019,8.8,0.4,2.0,19.2,0.6,23.2,174.2,254.4,1.6,0.2,7.7,1.0,109.1,21.9,28.2,276.9,0.7,18.4,1.0,0.0,1.4,0.0,3.4,0.0,1.6,0.6,2.1,0.4,0.1,0.0,156.3,2.6,32.9,74.6,0.0,801.2,69.1,0.6,26.5,38.5,0.9,6.9,7.2,75.7,0.1,17.1,329.5,0.0,137.1,0.7,0.9,1451.2,4277.0,63.1,3.1,0.6,60.09506,79.266032,32.396372,54.992434
Sicilia,2020,9.0,0.6,2.3,15.3,0.3,22.9,140.6,176.0,1.7,0.3,5.2,1.0,98.9,29.8,25.8,255.7,0.6,17.1,1.8,0.1,0.8,0.1,2.6,0.0,0.9,0.7,1.6,0.3,0.0,0.1,151.3,2.1,26.9,58.2,0.0,833.8,40.2,0.2,23.1,30.1,0.9,6.4,5.7,54.0,0.0,14.1,398.7,0.0,96.0,0.7,0.6,1078.6,3994.7,64.3,2.9,0.6,55.073491000000004,72.028478,28.360226,52.166411
Sicilia,2021,11.7,0.3,1.8,16.4,0.3,24.1,111.3,204.1,2.0,0.2,5.5,1.2,98.5,30.8,30.0,281.1,0.6,19.7,2.2,0.0,1.2,0.0,1.9,0.0,0.6,0.7,1.7,0.2,0.0,0.0,143.1,1.7,28.4,54.6,0.0,844.6,40.0,0.2,21.8,25.1,1.0,7.3,3.7,54.9,0.0,13.4,455.1,0.0,97.1,0.6,0.5,1071.5,4030.2,53.6,3.4,0.3,56.263692999999996,75.94323299999999,26.874491,52.671361
Toscana,2018,9.3,0.3,1.2,22.8,0.6,23.2,496.1,46.4,2.0,0.2,10.3,0.8,119.4,30.6,6.0,533.7,1.3,15.3,4.7,0.0,1.9,0.0,4.7,0.0,0.2,0.3,1.9,0.0,0.0,0.0,114.6,7.0,31.1,41.4,0.0,835.7,386.2,0.3,40.2,41.7,0.9,10.0,7.5,204.4,0.1,22.0,289.1,0.0,319.8,0.7,0.7,2501.9,5569.400000000001,81.6,2.7,0.1,21.975774,30.518981,13.399243,20.522096
Toscana,2019,10.8,0.2,1.2,18.6,0.6,25.2,431.9,39.2,1.9,0.3,7.6,0.5,118.4,35.3,5.2,546.5,1.5,13.4,6.4,0.0,1.4,0.0,3.8,0.0,0.3,0.4,1.2,0.0,0.1,0.0,110.1,7.2,24.6,39.2,0.0,891.7,395.0,0.1,34.1,37.1,1.0,9.0,5.4,172.3,0.1,21.1,312.7,0.0,255.6,0.7,0.4,2223.5,5359.5,80.3,2.4,0.2,20.202090000000002,25.389196,10.451806000000001,21.562875
Toscana,2020,9.7,0.3,1.1,12.4,0.2,23.6,251.0,27.1,2.6,0.4,4.3,0.5,100.1,41.4,5.1,473.1,0.7,13.4,5.2,0.0,1.3,0.0,3.3,0.0,0.2,0.4,1.0,0.0,0.1,0.0,105.6,3.6,16.6,26.2,0.0,838.6,177.2,0.2,24.4,31.8,0.9,8.1,4.5,117.7,0.0,18.6,377.7,0.0,159.0,0.5,0.5,1345.3,4269.7,62.0,2.1,0.2,20.491512,26.203142999999997,12.816205,20.377584
Toscana,2021,13.2,0.3,1.2,16.1,0.1,22.1,299.4,32.6,2.7,0.3,4.8,0.6,109.4,45.0,6.5,507.6,0.6,16.4,8.5,0.0,1.5,0.0,2.8,0.0,0.0,0.3,1.1,0.0,0.0,0.1,102.8,1.6,19.0,28.1,0.0,830.7,153.7,0.1,24.4,32.5,0.7,9.5,3.7,118.0,0.1,20.4,522.3,0.0,164.1,0.9,0.4,1496.8,4626.7,55.8,2.4,0.2,22.819998,30.288021999999998,14.331752000000002,22.062414
Trentino Alto Adige / Südtirol,2018,3.2,0.7,1.5,8.8,0.5,22.7,235.1,15.6,1.4,0.3,4.5,0.4,89.9,12.9,5.7,224.1,1.0,12.9,0.2,0.0,1.8,0.0,0.9,0.0,0.1,0.6,0.9,0.0,0.0,0.1,80.8,8.3,7.3,5.1,0.0,659.8,182.0,0.0,19.8,24.2,1.1,9.7,3.4,125.1,0.0,15.7,221.9,0.0,170.2,0.7,0.1,1435.0,3632.1000000000004,73.5,2.6,0.2,11.32166,14.49441,7.197167,11.195957
Trentino Alto Adige / Südtirol,2019,4.9,0.3,1.3,8.3,0.0,21.6,245.4,15.1,1.0,0.5,1.0,0.4,99.9,12.9,5.4,215.5,0.5,12.5,1.3,0.0,2.0,0.0,2.0,0.0,0.2,0.4,0.8,0.0,0.0,0.0,78.1,3.4,6.6,7.2,0.0,672.4,129.7,0.2,20.0,21.0,0.7,9.9,4.9,113.5,0.1,10.4,238.5,0.0,156.1,0.8,0.2,1298.0,3502.0,68.8,2.7,0.0,11.707063,16.63636,6.677878999999999,10.869805
Trentino Alto Adige / Südtirol,2020,5.6,0.1,0.8,4.1,0.1,20.3,114.9,10.0,2.3,0.4,0.6,0.4,79.1,13.4,3.7,189.7,1.4,13.0,0.8,0.0,1.8,0.0,1.3,0.0,0.0,0.4,0.8,0.0,0.0,0.0,79.5,3.6,3.7,5.8,0.0,697.0,81.1,0.0,18.2,25.2,0.8,7.3,5.8,96.6,0.1,14.4,218.4,0.0,85.0,0.4,0.1,823.3,2958.3,63.2,2.9,0.0,13.59321,18.556389,7.9520420000000005,13.156746
Trentino Alto Adige / Südtirol,2021,4.8,0.6,0.7,6.4,0.0,30.8,112.5,7.2,3.1,0.5,1.0,1.1,92.4,17.3,4.7,229.8,1.1,16.8,1.3,0.0,1.5,0.0,1.6,0.0,0.2,0.4,1.2,0.0,0.1,0.0,88.8,2.5,4.5,5.8,0.0,757.0,88.7,0.0,19.3,26.0,0.6,9.5,7.1,105.7,0.0,13.9,269.0,0.0,54.1,0.2,0.2,861.8,3237.1000000000004,58.1,2.3,0.1,12.885611,17.645501,7.292785,12.638888
Umbria,2018,7.6,0.1,0.8,16.2,0.7,24.6,432.6,44.6,1.4,0.3,1.7,2.4,108.2,22.4,3.6,437.7,1.5,13.5,3.4,0.0,1.7,0.0,2.4,0.0,0.2,0.6,1.8,0.0,0.1,0.0,120.0,1.2,19.5,6.8,0.0,676.3,181.9,0.1,28.2,25.0,0.9,6.5,3.1,128.6,0.0,13.4,350.6,0.0,267.1,1.0,2.3,1686.7,4334.5,54.5,2.4,0.3,27.859811999999998,38.529196999999996,15.971594,27.494447
Umbria,2019,13.1,0.8,2.0,15.0,0.3,24.4,391.1,35.4,0.9,0.1,3.0,1.0,99.9,24.2,4.1,456.3,0.8,11.5,5.9,0.0,2.3,0.0,3.5,0.0,0.3,0.6,1.5,0.0,0.0,0.0,120.8,0.9,11.1,6.1,0.0,696.4,159.0,0.0,24.5,25.0,0.1,5.8,3.2,106.8,0.0,13.3,371.2,0.0,269.4,2.0,0.2,1517.4,4173.0,46.9,3.1,0.1,25.624906,40.372213,18.46417,22.134811
Umbria,2020,9.9,0.1,0.6,9.0,0.5,20.4,231.0,26.9,1.7,0.1,1.8,0.9,88.9,29.5,3.3,380.4,0.9,14.3,5.4,0.0,2.4,0.0,1.6,0.0,0.3,0.1,1.4,0.0,0.1,0.0,114.8,1.8,8.1,4.1,0.0,702.5,71.8,0.0,18.0,19.8,0.5,7.7,3.3,71.7,0.0,10.0,478.1,0.0,142.1,0.6,0.3,976.3,3663.5,53.9,3.1,0.5,25.061362000000003,37.819617,18.081046,22.392301
Umbria,2021,18.1,0.1,1.5,12.9,0.3,31.7,266.7,32.1,2.4,0.0,1.0,1.4,95.4,34.1,5.1,421.7,1.5,17.5,9.7,0.0,1.5,0.0,3.5,0.0,0.2,0.5,1.2,0.0,0.0,0.3,122.7,0.8,10.8,4.6,0.0,762.4,62.7,0.2,14.5,19.4,1.5,7.7,1.9,78.4,0.0,8.7,558.7,0.0,110.4,0.5,0.8,963.5,3906.7,55.0,3.1,0.1,20.038733999999998,21.500642,17.567222,20.518934
Valle d'Aosta / Vallée d'Aoste,2018,9.6,0.0,3.2,4.8,0.0,39.8,489.2,33.4,1.6,0.0,9.6,0.0,203.2,109.6,6.4,759.2,0.0,19.0,1.6,0.0,6.4,0.0,6.4,0.0,0.0,0.0,3.2,0.0,0.0,0.0,216.0,1.6,6.4,8.0,0.0,1639.0,122.2,0.0,8.0,19.0,3.2,15.8,1.6,211.2,0.0,9.6,721.0,0.0,106.4,1.6,0.0,2012.2,7416.400000000001,42.8,8.0,0.0,21.319813,31.116794,10.807667,18.468389000000002
Valle d'Aosta / Vallée d'Aoste,2019,8.0,0.0,0.0,4.8,0.0,36.6,293.0,16.0,0.0,3.2,0.0,6.4,170.4,90.8,6.4,715.0,1.6,23.8,1.6,0.0,4.8,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.2,3.2,9.6,4.8,0.0,1780.4,90.8,0.0,20.8,17.6,1.6,20.8,4.8,130.6,0.0,8.0,839.2,0.0,87.6,0.0,0.0,1417.4,6950.0,57.4,8.0,0.0,19.423622,27.776629,8.431282,18.089529
Valle d'Aosta / Vallée d'Aoste,2020,4.8,0.0,4.8,6.4,0.0,48.2,196.0,25.8,6.4,0.0,4.8,0.0,223.4,128.6,14.4,689.4,3.2,16.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,220.2,4.8,8.0,3.2,0.0,1745.0,49.8,0.0,22.4,19.2,0.0,6.4,12.8,96.4,0.0,1.6,818.0,0.0,62.6,1.6,0.0,1081.4,6821.2,70.8,3.2,0.0,17.393791,25.902307,8.647683,14.744745
Valle d'Aosta / Vallée d'Aoste,2021,6.4,0.0,0.0,11.4,0.0,35.6,142.2,22.6,6.4,0.0,1.6,0.0,194.0,171.4,6.4,651.6,1.6,37.2,1.6,0.0,0.0,0.0,3.2,0.0,4.8,3.2,0.0,1.6,0.0,0.0,192.4,8.0,16.2,3.2,0.0,1440.4,34.0,0.0,38.8,21.0,1.6,16.2,1.6,79.2,0.0,11.4,979.6,0.0,80.8,0.0,0.0,978.0,6355.2,50.2,0.0,0.0,21.734136,31.056993,10.988575,19.410724000000002
Veneto,2018,3.8,0.6,1.0,10.2,0.2,20.0,331.8,32.4,0.9,0.2,4.7,0.6,93.4,22.2,3.9,347.9,0.8,9.6,0.1,0.0,2.3,0.0,3.0,0.0,0.1,0.2,1.2,0.0,0.0,0.0,87.1,2.4,6.7,5.4,0.0,597.5,246.3,0.0,19.5,25.6,0.6,7.3,4.6,142.1,0.0,12.5,276.9,0.0,247.2,0.5,0.5,1721.6,3941.1,48.9,2.9,0.2,19.338411,25.32798,12.469338,18.625911000000002
Veneto,2019,4.7,0.2,1.0,10.0,0.2,20.3,311.7,30.0,1.6,0.3,5.6,0.3,93.7,27.0,4.7,350.9,0.9,8.9,0.7,0.0,2.7,0.0,2.1,0.0,0.2,0.4,1.1,0.0,0.0,0.0,89.5,1.8,6.8,5.0,0.0,647.5,242.3,0.1,17.8,22.7,0.6,6.5,4.9,128.1,0.0,11.2,325.7,0.0,227.0,0.5,0.4,1628.0,3965.5,49.9,3.4,0.2,16.743254999999998,24.904442,11.273076,14.310235
Veneto,2020,4.4,0.3,0.6,7.2,0.1,17.8,232.9,23.8,2.4,0.5,4.4,1.3,78.6,30.9,4.0,301.0,0.7,9.1,0.8,0.0,1.3,0.0,2.4,0.0,0.1,0.3,1.4,0.0,0.0,0.0,83.9,1.9,4.6,3.3,0.0,547.2,109.8,0.1,15.7,21.1,0.4,7.5,4.0,85.5,0.0,10.7,450.4,0.0,128.6,0.4,0.3,1098.6,3347.2,49.8,2.2,0.2,17.607564,20.891841,13.554934,17.443106
Veneto,2021,3.5,0.2,0.8,9.4,0.1,22.7,318.1,24.6,3.0,0.3,4.3,0.7,85.1,32.1,3.4,331.5,0.4,12.2,0.5,0.0,2.2,0.0,2.8,0.0,0.1,0.4,1.0,0.0,0.1,0.0,86.1,2.1,5.9,3.9,0.0,560.8,123.2,0.0,18.5,24.7,0.8,8.4,4.0,92.4,0.0,14.1,551.5,0.0,107.9,0.4,0.3,1238.4,3683.5,44.6,2.7,0.2,15.70947,21.730044,9.343759,14.964306
